iter	Passed	Remaining
0	3	3136
1	6	3255
2	9	3143
3	13	3460
4	16	3372
5	19	3291
6	22	3238
7	25	3181
8	28	3144
9	31	3097
10	34	3070
11	36	3038
12	39	3026
13	42	3007
14	45	3000
15	48	2989
16	51	2981
17	55	3010
18	58	2997
19	60	2980
20	63	2972
21	66	2958
22	69	2946
23	72	2934
24	75	2939
25	78	2930
26	81	2920
27	84	2916
28	86	2908
29	89	2903
30	92	2894
31	95	2900
32	99	2901
33	102	2904
34	105	2921
35	108	2917
36	112	2918
37	115	2917
38	118	2916
39	121	2913
40	124	2917
41	127	2914
42	130	2909
43	133	2907
44	137	2912
45	140	2911
46	144	2923
47	147	2916
48	149	2908
49	152	2902
50	155	2894
51	158	2890
52	161	2883
53	164	2880
54	167	2872
55	169	2865
56	172	2858
57	175	2853
58	181	2896
59	184	2898
60	189	2911
61	192	2908
62	195	2900
63	198	2898
64	201	2893
65	204	2888
66	207	2888
67	210	2884
68	213	2877
69	216	2871
70	218	2864
71	221	2859
72	224	2852
73	227	2848
74	230	2846
75	234	2846
76	237	2843
77	240	2839
78	243	2836
79	246	2833
80	249	2826
81	252	2821
82	254	2815
83	259	2832
84	262	2830
85	265	2823
86	268	2817
87	271	2812
88	274	2814
89	277	2809
90	281	2813
91	284	2807
92	287	2800
93	290	2796
94	292	2789
95	295	2785
96	298	2779
97	301	2773
98	304	2768
99	307	2764
100	310	2759
101	312	2754
102	315	2750
103	318	2745
104	323	2755
105	326	2752
106	329	2747
107	332	2743
108	335	2743
109	338	2741
110	341	2736
111	344	2731
112	347	2725
113	350	2720
114	352	2716
115	355	2710
116	358	2706
117	361	2700
118	364	2699
119	367	2696
120	370	2694
121	373	2690
122	376	2686
123	379	2683
124	382	2680
125	385	2675
126	388	2671
127	391	2665
128	394	2661
129	397	2656
130	399	2652
131	402	2647
132	405	2643
133	408	2639
134	411	2637
135	415	2638
136	418	2637
137	421	2633
138	424	2629
139	427	2625
140	430	2621
141	433	2618
142	436	2614
143	439	2613
144	442	2608
145	445	2604
146	447	2599
147	450	2594
148	453	2590
149	456	2587
150	459	2582
151	462	2578
152	464	2572
153	467	2568
154	470	2563
155	473	2559
156	475	2555
157	478	2550
158	481	2546
159	484	2542
160	486	2537
161	489	2533
162	492	2528
163	495	2525
164	499	2527
165	502	2523
166	505	2521
167	508	2517
168	511	2512
169	514	2509
170	516	2505
171	519	2502
172	522	2498
173	525	2495
174	528	2491
175	531	2487
176	534	2483
177	536	2479
178	539	2475
179	542	2471
180	545	2470
181	548	2466
182	551	2463
183	554	2459
184	557	2455
185	560	2452
186	563	2448
187	565	2444
188	568	2440
189	571	2436
190	574	2433
191	577	2430
192	580	2426
193	583	2422
194	586	2419
195	588	2415
196	592	2414
197	595	2410
198	598	2409
199	601	2405
200	604	2401
201	607	2398
202	609	2394
203	612	2391
204	616	2389
205	619	2385
206	621	2382
207	625	2380
208	627	2375
209	630	2373
210	634	2373
211	637	2369
212	640	2365
213	643	2363
214	646	2360
215	649	2357
216	651	2352
217	655	2349
218	657	2344
219	660	2341
220	663	2338
221	665	2333
222	668	2329
223	671	2325
224	674	2321
225	676	2317
226	679	2314
227	682	2310
228	685	2306
229	688	2306
230	691	2301
231	694	2299
232	697	2295
233	700	2292
234	703	2288
235	705	2284
236	708	2281
237	711	2277
238	714	2273
239	717	2270
240	719	2267
241	722	2262
242	725	2259
243	727	2255
244	730	2251
245	733	2247
246	736	2245
247	739	2241
248	743	2242
249	746	2239
250	749	2235
251	751	2231
252	754	2227
253	757	2224
254	759	2220
255	762	2216
256	765	2213
257	768	2209
258	771	2205
259	774	2203
260	776	2199
261	779	2195
262	782	2193
263	785	2190
264	788	2187
265	791	2183
266	795	2184
267	798	2180
268	800	2176
269	803	2173
270	806	2169
271	809	2165
272	812	2162
273	814	2159
274	817	2155
275	820	2153
276	823	2150
277	826	2146
278	830	2145
279	833	2142
280	835	2138
281	838	2134
282	840	2130
283	843	2127
284	846	2123
285	849	2120
286	851	2116
287	854	2111
288	856	2107
289	859	2103
290	862	2100
291	864	2096
292	868	2094
293	871	2093
294	874	2090
295	877	2086
296	879	2081
297	882	2078
298	885	2075
299	887	2070
300	890	2067
301	893	2064
302	895	2060
303	898	2057
304	901	2053
305	904	2050
306	906	2047
307	909	2043
308	912	2040
309	916	2039
310	919	2037
311	922	2034
312	925	2031
313	928	2027
314	930	2024
315	933	2020
316	936	2017
317	938	2013
318	941	2009
319	944	2006
320	946	2002
321	949	1999
322	952	1995
323	955	1993
324	957	1989
325	961	1987
326	964	1984
327	966	1980
328	970	1978
329	972	1974
330	975	1971
331	978	1969
332	981	1965
333	984	1962
334	987	1959
335	989	1956
336	992	1953
337	995	1949
338	998	1946
339	1001	1944
340	1004	1940
341	1007	1938
342	1010	1934
343	1012	1931
344	1015	1928
345	1018	1925
346	1021	1922
347	1024	1919
348	1027	1916
349	1030	1913
350	1032	1909
351	1035	1906
352	1037	1902
353	1040	1897
354	1042	1894
355	1045	1890
356	1047	1887
357	1050	1884
358	1053	1881
359	1056	1878
360	1059	1874
361	1061	1871
362	1064	1868
363	1067	1864
364	1069	1861
365	1072	1857
366	1075	1854
367	1077	1851
368	1080	1847
369	1083	1844
370	1085	1840
371	1088	1837
372	1091	1834
373	1094	1831
374	1097	1828
375	1100	1826
376	1102	1822
377	1105	1819
378	1108	1816
379	1111	1813
380	1114	1810
381	1117	1807
382	1119	1803
383	1122	1800
384	1125	1797
385	1127	1793
386	1130	1790
387	1132	1786
388	1135	1783
389	1138	1780
390	1140	1776
391	1143	1773
392	1146	1770
393	1149	1767
394	1151	1763
395	1154	1760
396	1156	1757
397	1159	1753
398	1162	1750
399	1164	1747
400	1167	1743
401	1170	1740
402	1173	1737
403	1175	1734
404	1179	1732
405	1181	1729
406	1185	1727
407	1188	1724
408	1190	1720
409	1194	1718
410	1196	1714
411	1199	1711
412	1202	1709
413	1206	1707
414	1209	1704
415	1212	1701
416	1214	1698
417	1217	1695
418	1220	1691
419	1222	1688
420	1226	1686
421	1229	1683
422	1232	1680
423	1234	1677
424	1237	1674
425	1240	1670
426	1243	1668
427	1245	1664
428	1248	1661
429	1250	1658
430	1253	1654
431	1256	1651
432	1259	1648
433	1261	1645
434	1264	1642
435	1267	1639
436	1269	1635
437	1272	1632
438	1275	1630
439	1278	1627
440	1281	1624
441	1284	1621
442	1286	1617
443	1290	1615
444	1292	1612
445	1295	1609
446	1298	1606
447	1301	1603
448	1304	1600
449	1307	1597
450	1309	1594
451	1312	1590
452	1314	1587
453	1317	1584
454	1320	1582
455	1323	1579
456	1326	1575
457	1328	1572
458	1331	1569
459	1333	1565
460	1336	1562
461	1339	1559
462	1341	1556
463	1344	1553
464	1347	1550
465	1349	1546
466	1352	1543
467	1355	1540
468	1357	1537
469	1360	1534
470	1363	1530
471	1365	1527
472	1368	1525
473	1371	1522
474	1374	1519
475	1376	1515
476	1379	1512
477	1382	1509
478	1385	1506
479	1387	1503
480	1390	1500
481	1393	1497
482	1395	1494
483	1398	1490
484	1401	1488
485	1404	1484
486	1406	1481
487	1409	1478
488	1412	1475
489	1414	1472
490	1417	1469
491	1420	1466
492	1422	1463
493	1426	1461
494	1429	1457
495	1432	1455
496	1434	1452
497	1437	1448
498	1439	1445
499	1442	1442
500	1444	1439
501	1447	1436
502	1450	1433
503	1453	1430
504	1455	1426
505	1460	1425
506	1462	1422
507	1465	1419
508	1468	1416
509	1471	1413
510	1474	1410
511	1476	1407
512	1479	1404
513	1482	1401
514	1485	1398
515	1488	1395
516	1490	1392
517	1493	1389
518	1496	1386
519	1498	1383
520	1502	1380
521	1505	1378
522	1508	1375
523	1511	1373
524	1514	1370
525	1516	1366
526	1519	1363
527	1522	1360
528	1524	1357
529	1527	1354
530	1530	1351
531	1532	1348
532	1535	1345
533	1538	1342
534	1540	1339
535	1543	1336
536	1546	1333
537	1548	1329
538	1551	1327
539	1554	1324
540	1557	1321
541	1560	1318
542	1562	1315
543	1565	1312
544	1568	1309
545	1571	1306
546	1574	1303
547	1576	1300
548	1579	1297
549	1582	1294
550	1584	1291
551	1587	1288
552	1590	1285
553	1592	1282
554	1595	1279
555	1598	1276
556	1601	1273
557	1604	1270
558	1607	1268
559	1610	1265
560	1612	1262
561	1615	1259
562	1618	1256
563	1621	1253
564	1624	1250
565	1626	1247
566	1629	1244
567	1631	1241
568	1634	1238
569	1637	1235
570	1639	1232
571	1642	1228
572	1644	1225
573	1648	1223
574	1651	1220
575	1653	1217
576	1656	1214
577	1658	1211
578	1661	1207
579	1664	1204
580	1666	1202
581	1669	1198
582	1672	1195
583	1674	1192
584	1677	1189
585	1679	1186
586	1682	1183
587	1684	1180
588	1687	1177
589	1690	1175
590	1693	1172
591	1697	1169
592	1699	1166
593	1704	1165
594	1707	1162
595	1710	1159
596	1713	1156
597	1716	1153
598	1718	1150
599	1721	1147
600	1723	1144
601	1726	1141
602	1728	1138
603	1731	1135
604	1733	1132
605	1736	1129
606	1739	1126
607	1742	1123
608	1745	1120
609	1747	1117
610	1750	1114
611	1753	1111
612	1756	1108
613	1759	1105
614	1762	1103
615	1764	1100
616	1767	1097
617	1770	1094
618	1772	1091
619	1775	1088
620	1778	1085
621	1780	1082
622	1783	1079
623	1786	1076
624	1789	1073
625	1791	1070
626	1794	1067
627	1798	1065
628	1801	1062
629	1803	1059
630	1806	1056
631	1809	1053
632	1812	1050
633	1815	1047
634	1817	1044
635	1820	1041
636	1822	1038
637	1825	1035
638	1828	1032
639	1830	1029
640	1833	1026
641	1836	1024
642	1839	1021
643	1841	1018
644	1845	1015
645	1847	1012
646	1850	1009
647	1853	1006
648	1856	1003
649	1858	1000
650	1861	997
651	1864	994
652	1866	992
653	1869	989
654	1872	986
655	1875	983
656	1878	980
657	1881	977
658	1884	975
659	1887	972
660	1890	969
661	1892	966
662	1895	963
663	1898	960
664	1901	957
665	1904	955
666	1906	951
667	1909	948
668	1911	945
669	1914	942
670	1917	939
671	1919	936
672	1921	933
673	1924	930
674	1927	928
675	1930	925
676	1933	922
677	1935	919
678	1938	916
679	1941	913
680	1944	910
681	1947	908
682	1950	905
683	1952	902
684	1955	899
685	1958	896
686	1961	893
687	1964	890
688	1968	888
689	1971	885
690	1974	883
691	1977	880
692	1980	877
693	1983	874
694	1986	871
695	1989	868
696	1992	865
697	1995	863
698	1998	860
699	2000	857
700	2004	854
701	2006	851
702	2009	848
703	2012	846
704	2014	843
705	2017	840
706	2019	837
707	2022	834
708	2025	831
709	2027	828
710	2030	825
711	2032	822
712	2035	819
713	2038	816
714	2041	813
715	2043	810
716	2046	807
717	2049	804
718	2051	801
719	2054	799
720	2057	796
721	2060	793
722	2063	790
723	2066	787
724	2069	784
725	2071	781
726	2074	779
727	2077	776
728	2080	773
729	2083	770
730	2086	767
731	2089	764
732	2091	762
733	2094	759
734	2097	756
735	2099	753
736	2102	750
737	2105	747
738	2107	744
739	2110	741
740	2112	738
741	2115	735
742	2117	732
743	2120	729
744	2122	726
745	2125	723
746	2127	720
747	2130	717
748	2133	714
749	2135	711
750	2138	708
751	2140	706
752	2143	703
753	2146	700
754	2149	697
755	2152	694
756	2155	691
757	2157	688
758	2161	686
759	2164	683
760	2167	680
761	2170	678
762	2173	675
763	2177	672
764	2179	669
765	2182	666
766	2185	663
767	2187	660
768	2190	657
769	2192	654
770	2195	652
771	2197	649
772	2200	646
773	2203	643
774	2205	640
775	2207	637
776	2211	634
777	2214	631
778	2217	629
779	2220	626
780	2223	623
781	2226	620
782	2228	617
783	2231	614
784	2233	611
785	2236	608
786	2239	605
787	2241	603
788	2244	600
789	2247	597
790	2249	594
791	2252	591
792	2255	588
793	2258	586
794	2261	583
795	2264	580
796	2267	577
797	2270	574
798	2273	571
799	2275	568
800	2278	566
801	2281	563
802	2284	560
803	2287	557
804	2289	554
805	2292	551
806	2295	548
807	2297	545
808	2300	543
809	2302	540
810	2305	537
811	2308	534
812	2310	531
813	2314	528
814	2316	525
815	2319	522
816	2321	520
817	2324	517
818	2327	514
819	2330	511
820	2333	508
821	2336	505
822	2339	503
823	2341	500
824	2344	497
825	2347	494
826	2349	491
827	2352	488
828	2355	485
829	2359	483
830	2361	480
831	2364	477
832	2367	474
833	2370	471
834	2373	468
835	2375	466
836	2378	463
837	2381	460
838	2385	457
839	2387	454
840	2390	451
841	2392	449
842	2395	446
843	2397	443
844	2400	440
845	2403	437
846	2407	434
847	2410	431
848	2412	429
849	2415	426
850	2418	423
851	2420	420
852	2423	417
853	2425	414
854	2428	411
855	2431	409
856	2434	406
857	2436	403
858	2439	400
859	2441	397
860	2444	394
861	2447	391
862	2450	388
863	2452	386
864	2455	383
865	2458	380
866	2461	377
867	2464	374
868	2466	371
869	2470	369
870	2473	366
871	2476	363
872	2479	360
873	2482	357
874	2484	354
875	2487	352
876	2489	349
877	2492	346
878	2495	343
879	2497	340
880	2500	337
881	2503	334
882	2506	332
883	2509	329
884	2511	326
885	2514	323
886	2517	320
887	2520	317
888	2522	315
889	2526	312
890	2528	309
891	2531	306
892	2534	303
893	2537	300
894	2539	297
895	2543	295
896	2545	292
897	2548	289
898	2551	286
899	2554	283
900	2557	280
901	2559	278
902	2562	275
903	2565	272
904	2568	269
905	2571	266
906	2573	263
907	2576	261
908	2578	258
909	2581	255
910	2584	252
911	2586	249
912	2593	247
913	2595	244
914	2598	241
915	2601	238
916	2604	235
917	2606	232
918	2609	230
919	2612	227
920	2615	224
921	2617	221
922	2620	218
923	2623	215
924	2625	212
925	2628	210
926	2630	207
927	2633	204
928	2635	201
929	2639	198
930	2641	195
931	2644	192
932	2647	190
933	2652	187
934	2658	184
935	2663	182
936	2667	179
937	2669	176
938	2672	173
939	2675	170
940	2677	167
941	2680	165
942	2682	162
943	2685	159
944	2688	156
945	2690	153
946	2693	150
947	2696	147
948	2698	145
949	2701	142
950	2704	139
951	2707	136
952	2710	133
953	2713	130
954	2716	127
955	2718	125
956	2721	122
957	2724	119
958	2726	116
959	2729	113
960	2732	110
961	2736	108
962	2739	105
963	2742	102
964	2745	99
965	2747	96
966	2750	93
967	2753	91
968	2756	88
969	2759	85
970	2762	82
971	2764	79
972	2767	76
973	2770	73
974	2772	71
975	2775	68
976	2778	65
977	2780	62
978	2783	59
979	2786	56
980	2789	54
981	2791	51
982	2794	48
983	2796	45
984	2800	42
985	2802	39
986	2806	36
987	2808	34
988	2811	31
989	2814	28
990	2817	25
991	2820	22
992	2822	19
993	2825	17
994	2828	14
995	2831	11
996	2834	8
997	2837	5
998	2839	2
999	2842	0
